Mô hình,Nhãn,Precision,Recall,F1,Support
1. CNN-based (TextCNN),entailment,0.3506,0.4461,0.3926,334
1. CNN-based (TextCNN),neutral,0.3202,0.2192,0.2602,333
1. CNN-based (TextCNN),contradiction,0.3228,0.3363,0.3294,333
2. RNN-based (BiLSTM+attn),entailment,0.3919,0.521,0.4473,334
2. RNN-based (BiLSTM+attn),neutral,0.3613,0.4144,0.386,333
2. RNN-based (BiLSTM+attn),contradiction,0.3851,0.2012,0.2643,333
3. Transformer (PhoBERT),entailment,0.5128,0.5988,0.5525,334
3. Transformer (PhoBERT),neutral,0.4247,0.3724,0.3968,333
3. Transformer (PhoBERT),contradiction,0.4591,0.4384,0.4485,333
4. External (XLM-R large),entailment,0.5011,0.6976,0.5832,334
4. External (XLM-R large),neutral,0.4066,0.6276,0.4935,333
4. External (XLM-R large),contradiction,0.3333,0.021,0.0395,333
